Year,Name,G,PTS,TRB,AST,FG%,3P%,FT%,WS,WS/48,Position,isHoF,playedABA,startYear,endYear,yearsPlayed,numAllStar,numTeams,numChampionships,numFinalsMVP,numMVP,isROY,numDPOY,numAllNBA,numAllDef,numPTSLeader,numREBLeader,numASTLeader,totalPTS,totalREB,totalAST,isCollegeChampion,isCollegeAllAmerican,peakWS,numPlayoffApp,numFinalApp,numConfFinalsApp,numOlympicApp,isOlympicGold
,Terry Porter,1274,12.2,3,5.6,0.463,0.386,0.836,110.4,0.15,PG,0,0,1985,2002,17,2,4,0,0,0,0,0,0,0,0,0,0,15586,3872,7160,0,0,13,16,2,4,0,0
,Tim Hardaway,867,17.7,3.3,8.2,0.431,0.355,0.782,85,0.133,PG,0,0,1989,2003,13,5,5,0,0,0,0,0,5,0,0,0,0,15373,2855,7095,0,0,12.9,9,0,1,1,1
,Mookie Blaylock,889,13.5,4.1,6.7,0.409,0.336,0.736,71.8,0.111,PG,0,0,1989,2002,13,1,3,0,0,0,0,0,0,6,0,0,0,11962,3659,5972,0,1,12.5,8,0,0,0,0
,Sidney Moncrief,767,15.6,4.7,3.6,0.502,0.284,0.831,90.3,0.187,SG,0,0,1979,1991,11,5,2,0,0,0,0,NA,5,5,0,0,0,11931,3575,2793,0,1,13.4,11,0,3,0,0
,Kevin Johnson,735,17.9,3.3,9.1,0.493,0.305,0.841,92.8,0.178,PG,0,0,1987,2000,12,3,2,0,0,0,0,0,5,0,0,0,0,13127,2404,6711,0,0,12.7,11,1,3,0,0
,Sam Cassell,993,15.7,3.2,6,0.454,0.331,0.861,87.5,0.141,PG,0,0,1993,2008,15,1,8,3,0,0,0,0,1,0,0,0,0,15635,3221,5939,0,0,12.1,11,3,5,0,0
,Dick Van Arsdale,921,16.4,4.1,3.3,0.464,,0.79,75.2,0.114,SG,0,0,1965,1977,12,3,2,0,NA,0,0,NA,0,NA,0,0,0,15079,3807,3057,0,0,10.4,4,1,1,0,0
,Bobby Jones,941,12.1,6.1,2.7,0.56,0,0.766,94.1,0.175,PF,0,1,1974,1986,12,5,2,1,0,0,0,NA,1,11,0,0,0,11391,5739,2522,0,1,11,12,4,8,1,0
,Anthony Mason,882,10.9,8.3,3.4,0.509,0.167,0.709,88.3,0.138,C,0,0,1990,2003,13,1,6,0,0,0,0,0,1,1,0,0,0,9656,7279,2963,0,1,11.6,10,1,2,0,0
,Horace Grant,1165,11.2,8.1,2.2,0.509,0.063,0.692,118.2,0.147,PF,0,0,1987,2004,17,1,4,4,0,0,0,0,0,4,0,0,0,12996,9443,2575,0,1,14.1,13,5,8,0,0
,Detlef Schrempf,1136,13.9,6.2,3.4,0.491,0.384,0.803,109.5,0.156,PF,0,0,1985,2001,17,3,4,0,0,0,0,0,1,0,0,0,0,15761,7023,3833,0,0,12.9,14,1,3,2,0
,Tom Chambers,1107,18.1,6.1,2.1,0.468,0.307,0.807,79,0.112,PF,0,0,1981,1998,16,4,6,0,0,0,0,0,2,0,0,0,0,20049,6703,2283,0,0,11.2,10,1,5,0,0
,Byron Scott,1073,14.1,2.8,2.5,0.482,0.37,0.833,75.2,0.12,SG,0,0,1983,1997,13,0,3,3,0,0,0,0,0,0,0,0,0,15097,2987,2729,0,0,10.7,13,6,9,0,0
,Doc Rivers,864,10.9,3,5.7,0.444,0.328,0.784,68.2,0.139,PG,0,0,1983,1996,13,1,4,0,0,0,0,0,0,0,0,0,0,9377,2625,4889,0,0,10.3,10,0,2,0,0
,Gilbert Arenas,552,20.7,3.9,5.3,0.421,0.351,0.803,51.3,0.127,PG,0,0,2001,2012,11,3,4,0,0,0,0,0,3,0,0,0,0,11402,2168,2909,0,0,13.6,5,0,0,0,0
,Fred Brown,963,14.6,2.7,3.3,0.478,0.373,0.858,63.2,0.124,PG,0,0,1971,1984,13,1,1,1,0,0,0,NA,0,0,0,0,0,14018,2637,3160,0,1,8.8,8,2,3,0,0
,Juwan Howard,1208,13.4,6.1,2.2,0.469,0.12,0.764,59.4,0.078,PF,0,0,1994,2013,19,1,8,1,0,0,0,0,1,0,0,0,0,16159,7428,2663,0,1,7,7,2,2,0,0
,Tom Gugliotta,763,13,7.3,2.8,0.451,0.284,0.757,40.2,0.082,PF,0,0,1992,2005,14,1,7,0,0,0,0,0,0,0,0,0,0,9895,5589,2140,0,0,6.7,4,0,0,0,0
,Peja Stojakovic,804,17,4.7,1.8,0.45,0.401,0.895,82.6,0.147,SF,0,0,1998,2011,13,3,5,1,0,0,0,0,1,0,0,0,0,13647,3782,1408,0,0,13.5,11,1,2,0,0
,Shawn Kemp,1051,14.6,8.4,1.6,0.488,0.277,0.741,89.5,0.147,PF,0,0,1989,2003,14,6,4,0,0,0,0,0,3,0,0,0,0,15347,8834,1704,0,0,11.7,10,1,2,0,0
,Cedric Maxwell,835,12.5,6.3,2.2,0.546,0.053,0.784,78.5,0.159,SF,0,0,1977,1988,11,0,3,2,1,0,0,NA,0,0,0,0,0,10465,5261,1862,0,0,12.2,8,3,5,0,0
,Rudy Tomjanovich,768,17.4,8.1,2,0.501,0.262,0.784,70.4,0.131,PF,0,0,1970,1981,11,5,1,0,0,0,0,NA,0,0,0,0,0,13383,6198,1573,0,1,12.8,5,1,2,0,0
